orthoID	genes
OG50_0	ABCE1,ABCE1_B,ABCE1_C,ABCE1_D,ABCE1_E,ABCE1_F,ABCE1_G,ABCE1_H,ABCE1_I,ABCE1_J,ABCE1_K,ABCE1_L,ABCE1_M,ABCE1_N,ABCE1_O,ABCE1_P,ABCE1_Q,ABCE1_R,ABCE1_S,ABCE1_T
OG51_0	ABCF1,ABCF1_B,ABCF1_C,ABCF1_D,ABCF1_E,ABCF1_F,ABCF1_G,ABCF1_H,ABCF1_I,ABCF1_J,ABCF1_K,ABCF1_L,ABCF1_M,ABCF1_N,ABCF1_O,ABCF1_P,ABCF1_Q,ABCF1_R,ABCF1_S,ABCF1_T
OG52_0	ABCF2,ABCF2_B,ABCF2_C,ABCF2_D,ABCF2_E,ABCF2_F,ABCF2_G,ABCF2_H,ABCF2_I,ABCF2_J,ABCF2_K,ABCF2_L,ABCF2_M,ABCF2_N,ABCF2_O,ABCF2_P,ABCF2_Q,ABCF2_R,ABCF2_S,ABCF2_T
OG53_0	ABCF3,ABCF3_B,ABCF3_C,ABCF3_D,ABCF3_E,ABCF3_F,ABCF3_G,ABCF3_H,ABCF3_I,ABCF3_J,ABCF3_K,ABCF3_L,ABCF3_M,ABCF3_N,ABCF3_O,ABCF3_P,ABCF3_Q,ABCF3_R,ABCF3_S,ABCF3_T
OG54_0	ABCG1,ABCG1_B,ABCG1_C,ABCG1_D,ABCG1_E,ABCG1_F,ABCG1_G,ABCG1_H,ABCG1_I,ABCG1_J,ABCG1_K,ABCG1_L,ABCG1_M,ABCG1_N,ABCG1_O,ABCG1_P,ABCG1_Q,ABCG1_R,ABCG1_S,ABCG1_T
OG55_0	ABCG2,ABCG2_B,ABCG2_C,ABCG2_D,ABCG2_E,ABCG2_F,ABCG2_G,ABCG2_H,ABCG2_I,ABCG2_J,ABCG2_K,ABCG2_L,ABCG2_M,ABCG2_N,ABCG2_O,ABCG2_P,ABCG2_Q,ABCG2_R,ABCG2_S,ABCG2_T
OG56_0	ABHD10,ABHD10_B,ABHD10_C,ABHD10_D,ABHD10_E,ABHD10_F,ABHD10_G,ABHD10_H,ABHD10_I,ABHD10_J,ABHD10_K,ABHD10_L,ABHD10_M,ABHD10_N,ABHD10_O,ABHD10_P,ABHD10_Q,ABHD10_R,ABHD10_S,ABHD10_T
OG57_0	ABHD11,ABHD11_B,ABHD11_C,ABHD11_D,ABHD11_E,ABHD11_F,ABHD11_G,ABHD11_H,ABHD11_I,ABHD11_J,ABHD11_K,ABHD11_L,ABHD11_M,ABHD11_N,ABHD11_O,ABHD11_P,ABHD11_Q,ABHD11_R,ABHD11_S,ABHD11_T
OG58_0	ABHD12,ABHD12_B,ABHD12_C,ABHD12_D,ABHD12_E,ABHD12_F,ABHD12_G,ABHD12_H,ABHD12_I,ABHD12_J,ABHD12_K,ABHD12_L,ABHD12_M,ABHD12_N,ABHD12_O,ABHD12_P,ABHD12_Q,ABHD12_R,ABHD12_S,ABHD12_T
OG59_0	ABHD13,ABHD13_B,ABHD13_C,ABHD13_D,ABHD13_E,ABHD13_F,ABHD13_G,ABHD13_H,ABHD13_I,ABHD13_J,ABHD13_K,ABHD13_L,ABHD13_M,ABHD13_N,ABHD13_O,ABHD13_P,ABHD13_Q,ABHD13_R,ABHD13_S,ABHD13_T
OG60_0	ABHD14A,ABHD14A_B,ABHD14A_C,ABHD14A_D,ABHD14A_E,ABHD14A_F,ABHD14A_G,ABHD14A_H,ABHD14A_I,ABHD14A_J,ABHD14A_K,ABHD14A_L,ABHD14A_M,ABHD14A_N,ABHD14A_O,ABHD14A_P,ABHD14A_Q,ABHD14A_R,ABHD14A_S,ABHD14A_T
OG61_0	ABHD14B,ABHD14B_B,ABHD14B_C,ABHD14B_D,ABHD14B_E,ABHD14B_F,ABHD14B_G,ABHD14B_H,ABHD14B_I,ABHD14B_J,ABHD14B_K,ABHD14B_L,ABHD14B_M,ABHD14B_N,ABHD14B_O,ABHD14B_P,ABHD14B_Q,ABHD14B_R,ABHD14B_S,ABHD14B_T
OG62_0	ABHD15,ABHD15_B,ABHD15_C,ABHD15_D,ABHD15_E,ABHD15_F,ABHD15_G,ABHD15_H,ABHD15_I,ABHD15_J,ABHD15_K,ABHD15_L,ABHD15_M,ABHD15_N,ABHD15_O,ABHD15_P,ABHD15_Q,ABHD15_R,ABHD15_S,ABHD15_T
